Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Bryan Reynolds","PIT",144,627,16,96,67,9,0.130781499,0.232854864,0.161350844,0.337801608,0.26641651,0.373205741,0.427767354,0.3549554859025356,0.3600277778429863,121.08436007508541,1.408159954007715,17.36720179790868,-9.738744735717773,2.848629683430688,"Bryan Reynolds",19326,668804
"William Contreras","MIL",132,573,14,73,74,1,0.092495636,0.143106457,0.135559922,0.295238095,0.271119842,0.340314136,0.406679764,0.3273020709336118,0.3332891749162456,107.2113993206806,-2.786461577285081,2.201843596278091,7.089684754610062,2.8395677820087566,"William Contreras",20503,661388
"Kyle Schwarber","PHI",137,614,42,85,86,3,0.146579804,0.324104234,0.283757339,0.29347826,0.2407045,0.35725938,0.524461839,0.3760951026856801,0.36740742833161155,134.91583948008773,-2.7300316016189754,23.15029231024896,-15.210864782333374,2.8373438071519717,"Kyle Schwarber",16478,656941
"Carter Jensen","KCR",133,533,22,67,67,2,0.108818011,0.281425891,0.21030043,0.283333333,0.229613733,0.315196998,0.439914163,0.3281837397051933,0.3039621759044698,107.5851476248159,0.5325563228689134,5.220564737852602,3.4390538334846497,2.8028261246093247,"Carter Jensen",29478,695600
"Riley Greene","DET",122,515,18,69,62,3,0.120388349,0.27184466,0.191441442,0.357388316,0.274774774,0.365048543,0.466216216,0.3608638311785495,0.36934941062255383,132.21000909674424,-0.4315621517598629,18.80357168569082,-9.907669067382812,2.7620170993625752,"Riley Greene",25976,682985
"Jackson Merrill","SDP",140,587,22,72,70,24,0.064735945,0.241908006,0.174074074,0.28042328,0.237037037,0.289879931,0.411111111,0.3041439642166269,0.337774747805686,94.40821246786113,6.132925673853606,2.170440859541661,5.880640983581543,2.759500469883069,"Jackson Merrill",29490,701538
"Garrett Mitchell","MIL",128,464,9,61,56,12,0.114224137,0.314655172,0.153465347,0.388,0.262376237,0.354211663,0.415841584,0.34041563445730477,0.35021366938593074,115.9818990204924,1.6071383850649,10.559244284248908,1.3797713443636894,2.7490258044474367,"Garrett Mitchell",27555,669003
"Drake Baldwin","ATL",120,532,22,75,69,3,0.093984962,0.216165413,0.172995781,0.325443786,0.278481012,0.355263157,0.451476793,0.35398672650445184,0.3652813029739092,123.64708299464151,-1.4689190774224699,13.717943254462579,-4.320837005972862,2.7148464301029014,"Drake Baldwin",31539,686948
"Jonathan Aranda","TBR",139,606,19,68,86,0,0.102310231,0.234323432,0.152091255,0.343163538,0.27946768,0.361386138,0.431558935,0.348189127287066,0.34968556705022696,123.41900742708603,-3.7476586708799005,12.708870518777829,-7.500859498977661,2.7144083286715963,"Jonathan Aranda",21837,666018
"Luis García Jr.","- - -",133,486,28,62,88,5,0.047325102,0.170781893,0.25813449,0.292613636,0.284164859,0.316872427,0.542299349,0.36624186237653095,0.3486183750950278,131.40226016627844,-1.269182413816452,17.01740336509838,-6.899176090955734,2.6698655369810242,"Luis Garcia Jr.",20391,671277
