Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,AB,H,2B,3B,BB,SO,OPS,NameASCII,PlayerId,MLBAMID
"Kerry Carpenter","DET",32,109,6,11,17,0,0.100917431,0.339449541,0.255319149,0.264150943,0.212765957,0.302752293,0.468085106,0.3353621123033926,0.30439401555944373,109.25983678461361,-0.37440292770043015,0.8239372183526572,-6.157865047454834,-0.15245358038993362,94,20,2,2,11,37,0.770837399,"Kerry Carpenter",25961,681481
"Spencer Steer","CIN",32,120,5,13,10,1,0.083333333,0.258333333,0.198113208,0.295774647,0.245283018,0.325,0.443396226,0.3408474783102671,0.3737206832222317,109.81553046953738,0.23997764848172665,1.6244347508277168,-2.7720590829849243,0.2760222465095178,106,26,6,0,10,31,0.768396226,"Spencer Steer",26323,668715
"Jonny DeLuca","TBR",25,72,2,13,13,3,0.041666666,0.180555555,0.176470588,0.320754716,0.279411764,0.309859154,0.455882352,0.3363866923560559,0.30210368734010506,109.32056401562184,0.7147531164810061,1.5115084316465377,1.0583763718605042,0.5186534368017742,68,19,6,0,3,13,0.765741506,"Jonny DeLuca",26365,676356
"Miguel Rojas","LAD",22,56,1,4,5,0,0.071428571,0.142857142,0.12,0.333333333,0.3,0.345454545,0.42,0.3395671205087142,0.31210573369806466,114.38109454699979,-1.3805198431946337,-0.4339243105452395,2.979976862668991,0.4420467855553938,50,15,3,0,4,8,0.765454545,"Miguel Rojas",7802,500743
"Bobby Witt Jr.","KCR",34,154,2,12,15,10,0.11038961,0.181818181,0.125925926,0.336448598,0.281481481,0.357142857,0.407407407,0.3379921587674241,0.3729788672845095,108.27923847443166,1.1925364756025374,2.7063116975821453,7.570582270622253,1.5952345448570049,135,38,9,1,17,28,0.764550264,"Bobby Witt Jr.",25764,677951
"Samuel Basallo","BAL",26,100,5,10,10,0,0.1,0.27,0.2,0.293103448,0.244444444,0.32,0.444444444,0.3357090859702139,0.3292049485809949,111.17516203606345,-0.08867819467559457,1.2381176669545164,-2.1291511952877045,0.26697414982040996,90,22,3,0,10,27,0.764444444,"Samuel Basallo",28824,694212
"Dane Myers","CIN",28,53,1,12,4,2,0.16981132,0.188679245,0.069767442,0.34375,0.279069767,0.415094339,0.348837209,0.3607220526011485,0.46207581314386104,123.28585752097013,0.5028200005181134,1.9534364150242822,0.24558953195810318,0.39695570986198997,43,12,0,0,9,10,0.763931548,"Dane Myers",22054,667472
"Everson Pereira","CHW",18,71,3,7,7,1,0.056338028,0.295774647,0.203125,0.31707317,0.25,0.309859154,0.453125,0.3349928377379834,0.31404755820690744,109.00567606378235,-0.031611612532287836,0.7275337602841521,0.011985421180725098,0.32902685154759237,64,16,4,0,4,21,0.762984154,"Everson Pereira",23695,677592
"Xander Bogaerts","SDP",32,134,5,15,18,4,0.111940298,0.156716417,0.142857142,0.29032258,0.268907563,0.350746268,0.411764705,0.3442759869703606,0.3499314322400449,120.82852202066745,0.010059479624032974,3.290617583045303,1.3509289398789406,0.9102860312665642,119,32,2,0,15,21,0.762510973,"Xander Bogaerts",12161,593428
"Maikel Garcia","KCR",32,141,3,18,13,4,0.092198581,0.170212765,0.158730159,0.306930693,0.269841269,0.333333333,0.428571428,0.3370454658007791,0.33813406220564607,107.64401921280913,0.9516655625775456,2.231315447323362,3.4972988069057465,1.0864348023475392,126,34,9,1,13,24,0.761904761,"Maikel Garcia",22715,672580
"Curtis Mead","WSN",26,81,4,13,12,2,0.111111111,0.160493827,0.23943662,0.203703703,0.211267605,0.308641975,0.450704225,0.3362269710611414,0.34522056579589844,111.6241837804164,0.604374386370182,1.711079632154871,-3.4719393253326416,0.08606941741088064,71,15,5,0,9,13,0.7593462,"Curtis Mead",23986,678554
"José Ramírez","CLE",35,153,6,20,14,13,0.156862745,0.130718954,0.201550388,0.213592233,0.217054263,0.339869281,0.418604651,0.33470274567604064,0.38047337372030987,110.24203352863309,2.7527198302559555,4.613212243217762,0.81219682097435,1.098520312793822,129,28,8,0,24,20,0.758473932,"Jose Ramirez",13510,608070
